region;date;latitude;longitude;temperature_2m_max;temperature_2m_min;precipitation_sum;wind_speed_10m_max
dolnoslaskie;2025-08-22;51.1;17.039999;19.8;13.9;0.0;16.6
kujawsko_pomorskie;2025-08-22;53.12;17.999998;19.9;12.5;0.0;21.5
lubelskie;2025-08-22;51.243538;22.551773;23.7;16.4;0.0;21.2
lubuskie;2025-08-22;51.940002;15.499998;19.5;11.8;0.0;18.6
lodzkie;2025-08-22;51.764503;19.453964;20.5;15.8;0.0;18.7
malopolskie;2025-08-22;50.057274;19.949356;23.6;17.1;0.0;18.7
mazowieckie;2025-08-22;52.23009;21.017075;22.0;13.1;0.0;16.6
opolskie;2025-08-22;50.68;17.919998;20.5;12.3;0.0;22.2
podkarpackie;2025-08-22;50.03909;22.010834;21.6;14.8;2.7;14.0
podlaskie;2025-08-22;53.13046;23.172256;23.4;10.9;0.0;16.2
pomorskie;2025-08-22;54.36;18.64;19.3;13.1;0.0;20.9
slaskie;2025-08-22;50.26566;19.02475;21.5;16.8;0.0;19.1
swietokrzyskie;2025-08-22;50.86819;20.62085;22.4;16.3;0.0;20.9
warminsko_mazurskie;2025-08-22;53.783043;20.486542;20.3;13.0;1.2;16.9
wielkopolskie;2025-08-22;52.4;16.919998;19.9;12.6;0.0;19.1
zachodniopomorskie;2025-08-22;53.42;14.559999;18.2;10.7;0.0;18.8
